session_id,did,resource_consumed,session_start_datetime,session_end_datetime,task,duration
01H65Y8SMXXCZQDMG71YV492QN,did:meca:0xfb7f52bc08f9429d194010c464b180ac490df763,8,1672535294,1672563501,ml_lstm,28207
01H65Y8SWPWSZ3TTWW00E5D1BF,did:meca:0xbf51488773b4fd62543208af582b110f98ee9dea,47,1672539257,1672557822,vr_env_rendering,18565
01H65Y8SPYBC6D5NWE61B1NYK8,did:meca:0x13547261382b35f465355543b47b78142a675fbd,52,1672554682,1672699511,game_3d_rendering,144829
01H65Y8SNCWDXDB652Z3DWKCEK,did:meca:0xebd5ebb1c3a39bd6179bb471b90227e657f8bddd,64,1672564863,1672773848,ml_lstm,208985
01H65Y8SV47SR44C8XD6VZM8QX,did:meca:0x79abb035ca77255fc53576efb4f99f16b338e300,81,1672564883,1672693779,game_3d_rendering,128896
01H65Y8SY1KBK10K59SY3DWQ42,did:meca:0x7d1316a364df74cbf7625ffe1214e26d33f662b1,3,1672584255,1672769796,ml_lstm,185541
01H65Y8SNN5SQG6NCE6EZ3RB16,did:meca:0x54236cdaf5ef4610b4a568803a09a97ac737ca73,27,1672585073,1672779376,ml_lstm,194303
01H65Y8T2V1RW7QXR1KVJ3DJQ1,did:meca:0x4c604aa2a95ff310fd307b2c34d014f244c0a6ec,74,1672585293,1672721250,game_3d_rendering,135957
01H65Y8T1345NPHKD1XK32MJBG,did:meca:0x21878b605e7c0d01f5b0cf6ed15b682c8cc7b993,80,1672600879,1672704582,game_3d_rendering,103703
01H65Y8T4JNN52KH9DXEZG8NCM,did:meca:0x2f2f5fc17a9de0292f0a48744ffa454cb495542c,69,1672647835,1672722263,ml_lstm,74428
01H65Y8T67PKEBG2WZS0YBCQ6Z,did:meca:0x9eb832a118675c607746c0d711191656226c4573,9,1672652951,1672777428,ml_lstm,124477
01H65Y8T0YN19MS2QZJZDY1SFZ,did:meca:0x70fbd122a2e996dbffa86b0a77c453970a89f76c,64,1672680959,1672708524,game_3d_rendering,27565
01H65Y8T84C2EHRETNPJ1AJS31,did:meca:0xd92ba694d0f8c73582e053a218b0be3e77bb9db4,3,1672689214,1672814676,ml_lstm,125462
01H65Y8T11YVZXT2M4APAJ1B80,did:meca:0x9769d582ab1ee245737222e6e3070750d73e3c29,94,1672723757,1672960538,game_3d_rendering,236781
01H65Y8SZX8H411FG7YK84TCRX,did:meca:0x3f1c80d7e132a75e852460f23734f28747551038,21,1672740177,1672753534,ml_lstm,13357
01H65Y8T1C51MR8MA33Z9V1JA0,did:meca:0x7994b2b58c4196d3765b722cb3e5283dc50349ea,62,1672764141,1673073572,ml_lstm,309431
01H65Y8SXYK3547AHMR0FHY37D,did:meca:0x6cf44e8a0799f90ff7fb6a0e3cb246e7794e9d21,68,1672770160,1672956000,ml_lstm,185840
01H65Y8SZ9WTA88B1JQNQHJW46,did:meca:0x36a2e5c9535121794d4f9e74fef4a241037d5a94,33,1672780372,1672916970,game_3d_rendering,136598
01H65Y8SMXR0T2ME6R28CTQN2V,did:meca:0xfb18ee30745784a14d8931729b87b3ad88cd15ab,94,1672828109,1672964995,game_3d_rendering,136886
